id,rated,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,opening_eco,opening_name,opening_ply
TZJHLljE,FALSE,13,outoftime,white,15+2,bourgris,1500,a-00,1191,D10,Slav Defense: Exchange Variation,5
l1NXvwaE,TRUE,16,resign,black,5+10,a-00,1322,skinnerua,1261,B00,Nimzowitsch Defense: Kennedy Variation,4
mIICvQHh,TRUE,61,mate,white,5+10,ischia,1496,a-00,1500,C20,King's Pawn Game: Leonardis Variation,3
kWKvrqYL,TRUE,61,mate,white,20+0,daniamurashov,1439,adivanov2009,1454,D02,Queen's Pawn Game: Zukertort Variation,3
9tXo1AUZ,TRUE,95,mate,white,30+3,nik221107,1523,adivanov2009,1469,C41,Philidor Defense,5
MsoDV9wj,FALSE,5,draw,draw,10+0,trelynn17,1250,franklin14532,1002,B27,Sicilian Defense: Mongoose Variation,4
qwU9rasv,TRUE,33,resign,white,10+0,capa_jr,1520,daniel_likes_chess,1423,D00,Blackmar-Diemer Gambit: Pietrowsky Defense,10
RVN0N3VK,FALSE,9,resign,black,15+30,daniel_likes_chess,1413,soultego,2108,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
dwF3DJHO,TRUE,66,resign,black,15+0,ehabfanri,1439,daniel_likes_chess,1392,C50,Italian Game: Schilling-Kostic Gambit,6
afoMwnLg,TRUE,119,mate,white,10+0,daniel_likes_chess,1381,mirco25,1209,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
HgKLWPsz,FALSE,39,mate,white,20+60,daniel_likes_chess,1381,anaissac,1272,A00,Van't Kruijs Opening,1
Vf5fKWzI,FALSE,38,resign,black,20+60,daniel_likes_chess,1381,subham777,1867,C02,French Defense: Advance Variation |  Paulsen Attack,9
HRti5mKv,FALSE,60,resign,black,5+40,daniel_likes_chess,1381,roman12342005,1936,C00,French Defense: Knight Variation,3
2fEjSei6,FALSE,31,resign,black,8+0,daniel_likes_chess,1381,alkhan,1607,C00,French Defense #2,2
u7i6dOaJ,FALSE,31,mate,white,15+15,shivangithegenius,1094,sureka_akshat,1141,C50,Four Knights Game: Italian Variation,8
guanvMR5,FALSE,43,resign,black,15+15,sureka_akshat,1141,shivangithegenius,1094,C57,Italian Game: Two Knights Defense |  Knight Attack,7
PmpkWkmm,FALSE,52,resign,black,15+15,shivangithegenius,1094,sureka_akshat,1141,C50,Four Knights Game: Italian Variation,8
EwaK0IsE,FALSE,66,mate,black,15+16,sureka_akshat,1141,shivangithegenius,1094,C50,Four Knights Game: Italian Variation,8
yrSDozT3,FALSE,101,resign,black,15+15,shivangithegenius,1094,slam_ment,1300,C41,Philidor Defense #3,5
x31mXlvc,FALSE,25,resign,white,11+0,g-ios,1500,shivangithegenius,1094,D00,Queen's Pawn Game,2
oQklnWWp,FALSE,14,resign,black,15+15,shivangithegenius,1094,lex_v1,1676,C55,Italian Game: Anti-Fried Liver Defense,6
QFCZwY1f,FALSE,3,resign,white,30+60,shivangithegenius,1094,themannichreaction,1068,A40,Horwitz Defense,2
